prefill_freq_bin,decode_freq_bin,effective_batch_size,energy,latency,inference_time,batching_time,compute_time,avg_power,temperature,power_headroom,slo_violation,temp_violation,power_violation,throughput_raw,edp_efficiency_raw,performance_metric,constraint_penalty,prefill_power_w,decode_power_w,prefill_time,decode_time,num_prompt_tokens,num_decode_tokens,prefill_TOTAL_POWER,decode_TOTAL_POWER,throughput_normalized,edp_efficiency_normalized,reward,end_to_end_latency
7,0,3,132.3948573,6.0038,6.319538355,0.0045,0.0537,20.81115,62.7,0.6531475,False,False,False,57.96328026,0.001258064,0.21025023180593289,0.0,19.5467,22.0756,0.0564,5.9474,48,300,19.5467,22.0756,0.0445769768260144,0.4824798534249178,0.21025023180593289,6.0038
4,0,3,130.4141504,5.9955,6.314921856,0.0045,0.0558,20.52635,61.3,0.657894167,False,False,False,55.54164698,0.001278939,0.20287409397899323,0.0,19.2763,21.7764,0.0585,5.937,33,300,19.2763,21.7764,0.041802934315072836,0.4955245108331584,0.20287409397899323,5.995500000000001
3,0,3,131.6035283,6.0108,6.330052137,0.0047,0.0562,20.5989,61.0,0.656685,False,False,False,58.39487948,0.001264155,0.1994965285391797,0.0,19.2773,21.9205,0.0591,5.9517,51,300,19.2773,21.9205,0.04507138470926302,0.48628608136616785,0.1994965285391797,6.0108
9,0,3,131.2068926,5.9872,6.302995682,0.0044,0.0544,20.80835,62.7,0.653194167,False,False,False,55.61864384,0.001272974,0.2121055287030501,0.0,19.6807,21.936,0.0569,5.9303,33,300,19.6807,21.936,0.04189113617644179,0.491797019506684,0.2121055287030501,5.9872
6,0,3,130.6086609,5.9978,6.323271513,0.0043,0.0545,20.5724,63.9,0.657126667,False,False,False,57.02089816,0.001276545,0.2229589934572,0.0,19.3453,21.7995,0.0572,5.9406,42,300,19.3453,21.7995,0.04349745416313194,0.4940285151524242,0.2229589934572,5.9978
10,0,3,131.7983775,6.0047,6.329155922,0.0044,0.0545,21.02605,63.4,0.649565833,False,False,False,58.45420113,0.001263568,0.2170435116949932,0.0,20.085,21.9671,0.0571,5.9476,51,300,20.085,21.9671,0.04513933916804846,0.48591926872431696,0.2170435116949932,6.004700000000001
0,0,4,134.7854983,6.1476,6.45822072,0.0054,0.0728,20.23095,60.0,0.6628175,False,False,False,75.47659648,0.001206844,0.19325021551973828,0.0,18.494,21.9679,0.0761,6.0715,64,400,18.494,21.9679,0.06463892596715044,0.4504727946249139,0.19325021551973828,6.147600000000001
1,0,4,134.7065721,6.1289,6.446890593,0.0049,0.0601,20.605,61.6,0.656583333,False,False,False,74.40159337,0.001211236,0.20373902694073975,0.0,19.2022,22.0078,0.0631,6.0658,56,400,19.2022,22.0078,0.06340748256440104,0.4532173280542309,0.20373902694073975,6.128900000000001
3,0,4,133.0339964,6.1173,6.439098358,0.0048,0.056,20.5368,60.5,0.65772,False,False,False,71.92714565,0.00122879,0.19847431237814472,0.0,19.3027,21.7709,0.0588,6.0585,40,400,19.3027,21.7709,0.060572939769225044,0.46418671325874605,0.19847431237814472,6.1173
2,0,4,132.8877745,6.1199,6.444178581,0.005,0.0574,20.4079,61.2,0.659868333,False,False,False,72.55019321,0.001229619,0.20382771633276803,0.0,19.0755,21.7403,0.0603,6.0596,44,400,19.0755,21.7403,0.061286656594994146,0.4647047501924673,0.20382771633276803,6.1198999999999995
