prefill_freq_bin,decode_freq_bin,effective_batch_size,energy,latency,inference_time,batching_time,compute_time,avg_power,temperature,power_headroom,slo_violation,temp_violation,power_violation,throughput_raw,edp_efficiency_raw,performance_metric,constraint_penalty,prefill_power_w,decode_power_w,prefill_time,decode_time,num_prompt_tokens,num_decode_tokens,prefill_TOTAL_POWER,decode_TOTAL_POWER,inverse_energy_normalized,headroom_threshold_met,energy_min,energy_max,throughput_normalized,edp_efficiency_normalized,performance_metric.1,reward,early_exit_layer,avg_entropy
10,8,5,129.80790932,4.3793,4.893050909042358,0.0049,0.0504,27.36975,90.09735,0.5438375000000001,False,False,False,132.44122749269803,0.0017591146555689,0.93753388774298,0.0,25.0418,29.6977,0.0531,4.3262,80,500,25.0418,29.6977,0.93753388774298,True,109.66024753000002,432.19771724,0.1365815226344638,0.8073432984492882,0.93753388774298,0.93753388774298,4,7.9979
10,8,4,128.65357632,4.3814,4.891602516174316,0.0044,0.0521,27.05835,90.01089999999999,0.5490275,False,False,False,102.25039890208632,0.0017740474518101,0.9411127990584248,0.0,24.6942,29.4225,0.0546,4.3268,48,400,24.6942,29.4225,0.9411127990584248,True,109.66024753000002,432.19771724,0.103522934337209,0.8146873621653129,0.9411127990584248,0.9411127990584248,6,8.03
10,8,3,125.557744,4.2411,4.765143871307373,0.0041,0.0519,26.75625,90.16115,0.5540625,False,False,False,79.93207424204233,0.0018779238720286,0.9507111639330036,0.0,23.8325,29.68,0.0544,4.1867,39,300,23.8325,29.68,0.9507111639330036,True,109.66024753000002,432.19771724,0.0790846416217087,0.86577458229164,0.9507111639330036,0.9507111639330036,6,8.1307
10,8,2,128.43032417,4.4695,4.982128620147705,0.0038,0.0524,26.21,90.06854999999999,0.5631666666666667,False,False,False,53.69726956096441,0.0017421015970008,0.941804973366733,0.0,23.6217,28.7983,0.0548,4.4147,40,200,23.6217,28.7983,0.941804973366733,True,109.66024753000002,432.19771724,0.050357851152621,0.7989761457666749,0.941804973366733,0.941804973366733,10,5.2872
10,8,1,121.94095463,4.1967,4.705634593963623,0.0034,0.0491,26.59185,90.02145,0.5568025,False,False,False,27.164193970454413,0.0019540806473551,0.9619247118449776,0.0,24.0653,29.1184,0.0515,4.1452,14,100,24.0653,29.1184,0.9619247118449776,True,109.66024753000002,432.19771724,0.0213044576833416,0.903229068468872,0.9619247118449776,0.9619247118449776,4,8.8046
10,7,32,157.62828408999997,4.2759,4.799218893051148,0.0132,0.1156,31.57335,90.5382,0.4737775,False,False,False,920.507747957682,0.0014836734035499,0.8512791812897614,0.0,25.9691,37.1776,0.1195,4.1564,736,3200,25.9691,37.1776,0.8512791812897614,True,109.66024753000002,432.19771724,0.999504730346735,0.671879178255611,0.8512791812897614,0.8512791812897614,8,6.8719
10,7,26,151.92604935,4.3335,4.853445291519165,0.0114,0.0788,32.80775,90.6554,0.4532041666666667,False,False,False,701.9728390509198,0.0015188992013399,0.8689584752493965,0.0,30.4679,35.1476,0.0825,4.251,442,2600,30.4679,35.1476,0.8689584752493965,True,109.66024753000002,432.19771724,0.7602116761516847,0.6892034957671149,0.8689584752493965,0.8689584752493965,8,7.7243
10,7,16,138.83991074,4.2268,4.745219945907593,0.0085,0.0623,31.053,90.71375,0.48245,False,False,False,461.81497543887207,0.0017040172022925,0.909530935316644,0.0,29.2009,32.9051,0.0657,4.1611,352,1600,29.2009,32.9051,0.909530935316644,True,109.66024753000002,432.19771724,0.4972417508423877,0.7802459483672534,0.909530935316644,0.909530935316644,4,9.0
10,7,8,127.88033404,4.216,4.736343622207642,0.0061,0.0648,28.498,90.7327,0.5250333333333334,False,False,False,222.0113325400065,0.001854793797612,0.9435101710000328,0.0,26.6029,30.3931,0.0678,4.1482,136,800,26.6029,30.3931,0.9435101710000328,True,109.66024753000002,432.19771724,0.2346596928845383,0.8543990343012924,0.9435101710000328,0.9435101710000328,8,6.5045
10,7,5,124.3936326,4.252,4.773220062255859,0.0048,0.0519,26.8122,90.8056,0.5531299999999999,False,False,False,130.52678021477416,0.0018906389155561,0.9543203923462068,0.0,24.3048,29.3196,0.0545,4.1975,55,500,24.3048,29.3196,0.9543203923462068,True,109.66024753000002,432.19771724,0.1344852262645998,0.8720279382143765,0.9543203923462068,0.9543203923462068,4,8.2952
10,7,4,122.31260577,4.2455,4.764155149459839,0.0045,0.0514,26.19225,90.86715,0.5634625,False,False,False,108.34999214462556,0.0019257501279469,0.9607724390862992,0.0,23.5061,28.8784,0.0541,4.1914,60,400,23.5061,28.8784,0.9607724390862992,True,109.66024753000002,432.19771724,0.1102019143850944,0.8892959017477475,0.9607724390862992,0.9607724390862992,4,8.0228
10,7,3,123.85180235,4.3467,4.862242937088013,0.0043,0.0587,26.2642,90.6914,0.5622633333333333,False,False,False,81.44107450685013,0.0018575392577262,0.956000290965388,0.0,23.9703,28.5581,0.0614,4.2853,54,300,23.9703,28.5581,0.956000290965388,True,109.66024753000002,432.19771724,0.0807369784678145,0.8557492726413274,0.956000290965388,0.956000290965388,14,3.2903
10,7,2,120.90753438000002,4.2443,4.762024879455566,0.0038,0.0585,25.90005,90.72425,0.5683325,False,False,False,53.24787285350403,0.0019486801474786,0.9651287434600616,0.0,23.2365,28.5636,0.061,4.1833,26,200,23.2365,28.5636,0.9651287434600616,True,109.66024753000002,432.19771724,0.0498657672507338,0.9005730612113674,0.9651287434600616,0.9651287434600616,14,3.0937
